SRNO,REGIONAL CENTRE,AI-CODE AND NAME,TOTAL STUDENTS UPLOADED TMA,TOTAL TMA UPLOADED,TOTAL ALLOCATED SUBJECTS,TOTAL UN-ALLOCATED SUBJECTS,TOTAL EVALUATED SUBJECTS,TOTAL ALLOCATED UN-EVALUATED SUBJECTS,PRE-ALLOCATED,PRE-EVALUATED
1,118-GANDHINAGAR,M04020-Noori Higher Secondary School - Dhrol,490,2827,2827,0,2315,512,100,81.89
2,118-GANDHINAGAR,"M39049-Noori Higher Secondary School,",496,2798,2798,0,2797,1,100,99.96
3,118-GANDHINAGAR,390102-Navyug Vidyalaya,489,2708,2708,0,2542,166,100,93.87
4,109-JAIPUR,170121-Saraswati Vidya Mandir Senior,465,2407,2407,0,2407,0,100,100
5,106-KOCHI,M09040-Crescent Rsidential Higher,504,2325,2323,2,2194,129,99.91,94.37
6,113-BHOPAL,100048-Pragya Higher Secondary School,531,2272,2261,11,2163,98,99.52,95.2
7,109-JAIPUR,170147-Friends Public Sr.sec. School,421,2101,2092,9,2017,75,99.57,96
8,104-GUWAHATI,240003-Govt.higher Secondary School,404,2069,2068,1,2063,5,99.95,99.71
9,106-KOCHI,M09001-Jdt Islam Orphanage,430,2011,2011,0,2007,4,100,99.8
10,104-GUWAHATI,240001-Govt. Hr. Sec. School,390,1983,1983,0,1392,591,100,70.2
11,104-GUWAHATI,240010-Govt. Higher Sec. School,422,1980,1979,1,1945,34,99.95,98.23
12,103-KOLKATA,460523-Baidyapara High School,400,1968,1961,7,1961,0,99.64,99.64
13,118-GANDHINAGAR,"M38147-Noori Higher Secondary School,",426,1940,1940,0,1841,99,100,94.9
14,103-KOLKATA,460529-Netaji Subhas DAV Public School,355,1938,1938,0,1938,0,100,100
15,109-JAIPUR,170342-Saraswati Adarsh Sr.sec. School,379,1919,1919,0,1919,0,100,100
16,103-KOLKATA,220119-Netaji Subhas DAV Public School,342,1895,1895,0,1895,0,100,100
17,104-GUWAHATI,120018-Royal Academy,423,1832,1832,0,1750,82,100,95.52
18,118-GANDHINAGAR,390155-Shree Swaminarayan Gurukul School,296,1777,1777,0,1483,294,100,83.46
19,109-JAIPUR,170132-Hans International Sr.sec.school,353,1753,1750,3,1750,0,99.83,99.83
20,105-CHANDIGARH,250004-D A V Sr.sec. School,376,1700,1691,9,1691,0,99.47,99.47
21,104-GUWAHATI,300002-Govt. Bungkawn High School,414,1667,1667,0,1645,22,100,98.68
22,103-KOLKATA,M22074-Anglo Arabic Secondary School,367,1647,1642,5,1637,5,99.7,99.39
23,104-GUWAHATI,200001-Shishu Bihar Higher Sec. School,322,1633,1622,11,1032,590,99.33,63.2
24,106-KOCHI,090082-Kendriya Vidyalaya,342,1633,1633,0,1009,624,100,61.79
25,104-GUWAHATI,240006-Govt. Hr. Sec. School,332,1611,1607,4,1181,426,99.75,73.31
26,104-GUWAHATI,020009-Gohpur Higher Sec. School,349,1590,1586,4,1442,144,99.75,90.69
27,104-GUWAHATI,M02073-Lakshirbond Higher Secondary Madarsa,345,1462,1462,0,1459,3,100,99.79
28,114-DEHRADUN,M38300-Makhdoom Baksh Jamia Islamia,241,1440,1440,0,1440,0,100,100
29,103-KOLKATA,220099-Jawahar Navodaya Vidyalaya,260,1440,1439,1,1439,0,99.93,99.93
30,103-KOLKATA,460510-Dariapur Imampur Barambol High Sch,287,1439,0,1439,0,0,0,0
31,106-KOCHI,090045-Kendriya Vidyalaya,302,1410,1409,1,1409,0,99.93,99.93
32,103-KOLKATA,460528-Gitanjali Public School,254,1399,1399,0,1280,119,100,91.49
33,104-GUWAHATI,240021-Kendriya Vidyalaya,252,1377,1376,1,1367,9,99.93,99.27
34,106-KOCHI,M09006-Ansar English School,277,1369,1369,0,978,391,100,71.44
35,109-JAIPUR,170113-Mahala Residential Public School,265,1368,1368,0,936,432,100,68.42
36,118-GANDHINAGAR,390116-Shree Sharda Secondary & High. Secondary School,266,1307,1307,0,1042,265,100,79.72
37,103-KOLKATA,220116-Dreamland School,253,1304,1304,0,1231,73,100,94.4
38,106-KOCHI,090081-Kendriya Vidyalaya,278,1303,1303,0,1303,0,100,100
39,109-JAIPUR,170365-Shri Imrat Senior Secondary School,268,1300,1300,0,1299,1,100,99.92
40,107-DELHI,"450061-Akshya Pratisthan,",271,1294,1294,0,1294,0,100,100
41,118-GANDHINAGAR,390083-Nib School Of Science,222,1274,1271,3,1184,87,99.76,92.94
42,106-KOCHI,090035-Sree Valluvanad Vidya Bhavan,271,1272,1270,2,1228,42,99.84,96.54
43,106-KOCHI,090047-Kendriya Vidyalaya,273,1263,1260,3,1225,35,99.76,96.99
44,106-KOCHI,"M09060-M.t.i Central School Pottachira,",263,1262,1262,0,915,347,100,72.5
45,107-DELHI,270433-Chand Ram Public School,262,1245,1241,4,1240,1,99.68,99.6
46,109-JAIPUR,170309-Marwar Winners Public Sr.sec.school,268,1245,1245,0,1245,0,100,100
47,106-KOCHI,090027-Darussalam Eng. School,259,1231,1231,0,264,967,100,21.45
48,109-JAIPUR,170105-Global Career Sr.sec. School,267,1222,1222,0,1222,0,100,100
49,109-JAIPUR,170374-Saraswti Bal Niketan Sr.Sec. School,276,1198,1188,10,1185,3,99.17,98.91
50,118-GANDHINAGAR,380281-Saraswat International Academy,245,1195,1195,0,1192,3,100,99.75
51,109-JAIPUR,170102-Swami Nityanand Sr.sec.school,243,1191,1191,0,1191,0,100,100
52,109-JAIPUR,170444-Shri Ram Sr. Sec. School,288,1189,1189,0,1189,0,100,100
53,104-GUWAHATI,140016-Mount Mary Academy,238,1178,1178,0,1119,59,100,94.99
54,104-GUWAHATI,240019-Kendriya Vidyalaya,230,1157,1157,0,1156,1,100,99.91
55,104-GUWAHATI,240017-Govt. Hr.sec.school,230,1151,1150,1,919,231,99.91,79.84
56,109-JAIPUR,170360-Marudhara Public Sr.Sec. School,255,1144,1144,0,1144,0,100,100
57,109-JAIPUR,170154-Govt. Sr. Sec. School,233,1138,1138,0,848,290,100,74.52
58,106-KOCHI,M09071-Islamic Central School,237,1137,1137,0,1029,108,100,90.5
59,109-JAIPUR,170287-Govt. Sr. Sec. School,246,1136,1136,0,956,180,100,84.15
60,109-JAIPUR,170191-Bhartiya Vidya Mandir Sr.sec.school,228,1135,1135,0,1125,10,100,99.12
61,106-KOCHI,090064-C.k.m.s.s. Sr. Secondary School,238,1130,1130,0,1118,12,100,98.94
62,107-DELHI,270405-ARUN MODERN PUBLIC SR.SEC.SCHOOL,244,1122,1113,9,1095,18,99.2,97.59
63,106-KOCHI,090058-Kendriya Vidyalaya,227,1095,1094,1,1094,0,99.91,99.91
64,109-JAIPUR,170051-Bal Vikas Adarsh Sr. Secondary School,243,1089,1089,0,1089,0,100,100
65,106-KOCHI,090034-Vyasa Vidya Peethom,220,1076,1076,0,917,159,100,85.22
66,104-GUWAHATI,020044-Kendriya Vidyalaya,257,1055,1032,23,715,317,97.82,67.77
67,118-GANDHINAGAR,390097-Om Shanti English Medium School,190,1042,1042,0,928,114,100,89.06
68,104-GUWAHATI,240020-Kendriya Vidyalaya,203,1027,1020,7,861,159,99.32,83.84
69,106-KOCHI,090015-Bhavan's Vidya Mandir,258,1012,1012,0,1004,8,100,99.21
70,103-KOLKATA,220114-Gitanjali Public School,195,1006,1006,0,948,58,100,94.23
71,107-DELHI,"270267-Career Public School,473",213,999,992,7,992,0,99.3,99.3
72,104-GUWAHATI,020027-Kendriya Vidyalaya,244,995,991,4,864,127,99.6,86.83
73,118-GANDHINAGAR,040127-Shree Swaminarayan Gurukul School,197,993,993,0,971,22,100,97.78
74,123-GANGTOK,450178-North Bengal Central School,197,993,993,0,984,9,100,99.09
75,107-DELHI,"M27191-IASE, FACULTY OF EDUCATION",216,986,981,5,793,188,99.49,80.43
76,117-BENGALURU,M38041-Al-ameen Educational Society,242,983,983,0,983,0,100,100
77,114-DEHRADUN,M34233-Makhdoom Baksh Jamia Islamia,168,979,979,0,979,0,100,100
78,109-JAIPUR,170446-Seven Star Convent School,211,963,963,0,963,0,100,100
79,103-KOLKATA,220037-The Assembly Of God Church School,219,962,923,39,848,75,95.95,88.15
80,123-GANGTOK,180005-Fiveways School,198,933,933,0,825,108,100,88.42
81,109-JAIPUR,170031-Rajasthan Public Sr.sec. School,183,929,929,0,929,0,100,100
82,102-PUNE,M38343-Maulana Abul Kalam  Azad Residential Urdu High School & Jr College,195,922,922,0,721,201,100,78.2
83,105-CHANDIGARH,050641-Sharde Public School,211,918,918,0,918,0,100,100
84,106-KOCHI,090039-Saraswati Vidya Nikethan Public,203,916,915,1,269,646,99.89,29.37
85,107-DELHI,270530-J N International School,192,894,894,0,152,742,100,17
86,106-KOCHI,M09108-Al Ameen English School,159,893,893,0,893,0,100,100
87,106-KOCHI,090048-Kendriya Vidyalaya,193,892,892,0,886,6,100,99.33
88,118-GANDHINAGAR,040068-Om Shanti English Medium School,188,890,890,0,608,282,100,68.31
89,107-DELHI,270489-Satyawati Sood Arya Girls Sr.Sec.,187,889,889,0,464,425,100,52.19
90,118-GANDHINAGAR,M39051-Razvi High School -  Lalpur,148,888,888,0,885,3,100,99.66
91,106-KOCHI,090054-Kendriya Vidyalaya,192,888,888,0,888,0,100,100
92,109-JAIPUR,M17260-St. Francis Sr.Sec. School,171,884,884,0,884,0,100,100
93,107-DELHI,270266-M. Savitri D.sanjeevani Pub School,179,878,871,7,847,24,99.2,96.47
94,109-JAIPUR,170298-Sunrise Public Sr.sec. School,185,876,876,0,844,32,100,96.35
95,118-GANDHINAGAR,390084-B.N. Zala Vidyalaya,147,876,876,0,749,127,100,85.5
96,118-GANDHINAGAR,390085-Maruti High School,157,874,874,0,820,54,100,93.82
97,106-KOCHI,090012-Travancore Inst.of Sci.& Technology,168,872,872,0,865,7,100,99.2
98,114-DEHRADUN,210622-Konark Vidyapeeth,174,868,868,0,866,2,100,99.77
99,107-DELHI,270226-Sarvodaya Bal Vidyalaya,179,862,10,852,0,10,1.16,0
100,109-JAIPUR,M17268-Madarsa Qadariya Faiz E Sikandriya,136,859,858,1,858,0,99.88,99.88
101,107-DELHI,270137-Dashmesh Public School,181,857,854,3,820,34,99.65,95.68
102,118-GANDHINAGAR,390103-D.H.K. Mungra Knaya Vidhyalay,149,856,856,0,713,143,100,83.29
103,109-JAIPUR,170284-Mother Land Shikshan Sansthan,168,849,849,0,757,92,100,89.16
104,104-GUWAHATI,240008-Govt. Hr. Sec. School,187,848,847,1,678,169,99.88,79.95
105,104-GUWAHATI,140013-H M C High School,179,846,846,0,523,323,100,61.82
106,107-DELHI,270454-Gyanodaya Sr. Sec. Public School,162,829,829,0,823,6,100,99.28
107,118-GANDHINAGAR,M39050-Jamia Ayesha Madarsatul Banat - Dhrol,146,829,829,0,828,1,100,99.88
108,117-BENGALURU,M08004-Al-Ameen Educational Society,174,828,828,0,827,1,100,99.88
109,109-JAIPUR,170411-Vinayak Vidhya Mandir Sr. Sec. School,166,816,816,0,816,0,100,100
110,118-GANDHINAGAR,390124-S S School of Science,162,815,815,0,751,64,100,92.15
111,107-DELHI,270542-Angels Public School,167,813,813,0,89,724,100,10.95
112,104-GUWAHATI,200020-Hapania High School,158,808,807,1,546,261,99.88,67.57
113,109-JAIPUR,170332-Shri Krishna Public Sr.sec. School,179,805,805,0,805,0,100,100
114,106-KOCHI,"090029-Progressive English School,",168,798,795,3,167,628,99.62,20.93
115,118-GANDHINAGAR,390095-Ochhavlal Sheth High School,161,791,791,0,744,47,100,94.06
116,107-DELHI,270106-Fr. Agnel School,181,790,788,2,520,268,99.75,65.82
117,104-GUWAHATI,240027-Govt. Secondary School,165,789,788,1,777,11,99.87,98.48
118,105-CHANDIGARH,160106-Rajindra Sr.Sec. Public School,145,788,788,0,788,0,100,100
